date,username,to,replies,retweets,text,mentions,hashtags,permalink
29-02-2020 21.42,KatieMcGreal,Sean_Celtic,0,0, I think this fella's got some sort of a complex...maybe Peig did it for him. ,,,https://twitter.com/KatieMcGreal/status/1233870297339777026
29-02-2020 20.51,UpChois,Sean_Celtic,0,1," Apologies, I forgot to mentiion that the other events are the same .... all are welcome! Head along to one or more of the events, and then see if you still think that there's a smell of Talilban about them? ",,,https://twitter.com/UpChois/status/1233857349779099651
29-02-2020 20.38,UpChois,Sean_Celtic,0,0," Pop UpHowth, Tues 3rd March https://m.facebook.com/story.php?story_fbid=10215581160150383&id=1481755559&ref=m_notif&notif_t=feedback_reaction_generic_tagged ",,,https://twitter.com/UpChois/status/1233854049583276033
29-02-2020 20.34,UpChois,Sean_Celtic,0,0," Not in Bayside Seán, all levels of Irish are very welcome. We have good Irish speakers but also many are like myself, rusty but back learning & talking as gaeilge & also those new to the language. And it's a very enjoyable social evening also. Come down and have a look? Eoin. ",,,https://twitter.com/UpChois/status/1233852980148961281
29-02-2020 20.30,aodhanodea,Sean_Celtic,1,0, 11 ciorcal comhrá conversation circle events and 3 pop up Gaeltachts who welcome all levels. If you'd clicked into any of links most say all levels welcome. One time of year we try to organise events for our language and called taliban. Christ ,,,https://twitter.com/aodhanodea/status/1233851943191269381
29-02-2020 20.23,Sean_Celtic,aodhanodea,8,0, This is obviously exclusive to fluent Irish speakers. Great way to encourage non Irish speakers. Irish Taliban at it’s best. ,,,https://twitter.com/Sean_Celtic/status/1233850347506016258
29-02-2020 19.34,aodhanodea,,1,0, Aon rud eile ag tarlúint? Any other events for #SnaG20 not on the list? @RahenyGAA @ScoilCLG @StVincentsGAA1 @StMonicasGAA @ClontarfRugby @FC_Clontarf @ClontarfCycling @clontarfhc @ClontarfCC @TarfJuniorRugby @howthyachtclub @KillesterBball @RahenyScouts @RahenyGuides , @RahenyGAA  @ScoilCLG  @StVincentsGAA1  @StMonicasGAA  @ClontarfRugby  @FC_Clontarf  @ClontarfCycling  @clontarfhc  @ClontarfCC  @TarfJuniorRugby  @howthyachtclub  @KillesterBball  @RahenyScouts  @RahenyGuides,#SnaG20,https://twitter.com/aodhanodea/status/1233838055389265920
29-02-2020 4.44,SaveRGVfromLNG,GheorghiuAndy,0,1," If your country bans fracking, you don't import fracked gas. Period. ",,,https://twitter.com/SaveRGVfromLNG/status/1233614057405665280
28-02-2020 22.04,IrishinEurVoice,BarryAndrewsMEP,0,0, Needs a stable and Grand Coalition to implement the ideas of the students. No one generation or political party has a monopoly on solutions for Climate Change. However it takes a political party with teeth to get things done.Climate Action is in the doing and not from sidelines. ,,,https://twitter.com/IrishinEurVoice/status/1233513344834965510
28-02-2020 21.03,LiamWegimont,realsuzierock,1,0, Have you got your tickets yet for the best little musical on the Northside? Pls RT ...@bfcdublin @RichardbrutonTD @sean_haughey @fotoole @roisiningle @marklittlenews @NorthsideNews @Finian_McGrath @FairviewMarino @loveclontarf_ie @clontarfhc @FC_Clontarf @MarinoInstitute , @bfcdublin  @RichardbrutonTD  @sean_haughey  @fotoole  @roisiningle  @marklittlenews  @NorthsideNews  @Finian_McGrath  @FairviewMarino  @loveclontarf_ie  @clontarfhc  @FC_Clontarf  @MarinoInstitute,,https://twitter.com/LiamWegimont/status/1233497975059615746
28-02-2020 19.44,ireland_better,AndyOCallagha,0,0, Commuting in Dublin already an nightmare. Have to build up ,,,https://twitter.com/ireland_better/status/1233478011577651201
28-02-2020 19.41,AndyOCallagha,AlanHealy,1,1," Cork building up - will have more tall buildings than Dublin (whose pop’n is 4 times higher!) - more low rise, low density outward sprawl unsustainable!! @DubCham @DaveyDonn @RichardbrutonTD @DarraghOBrienTD @MurphyEoghan @willgoodbody @EamonRyan ", @DubCham  @DaveyDonn  @RichardbrutonTD  @DarraghOBrienTD  @MurphyEoghan  @willgoodbody  @EamonRyan,,https://twitter.com/AndyOCallagha/status/1233477372852260866
28-02-2020 18.33,eurofound,EPinIreland,0,0," An excellent debate, congratulations to @StMarysCollege and all who took part! You can read some of our thoughts on the challenges and opportunities of Europe's low-carbon transition here: https://www.eurofound.europa.eu/publications/blog/europes-low-carbon-transition-makes-economic-sense #GreenDeal #ModelCouncil ", @StMarysCollege,#GreenDeal #ModelCouncil,https://twitter.com/eurofound/status/1233460113446461447
28-02-2020 13.39,dkinireland,,0,3, Yesterday Amb. Balslev @DKambIRL attended the #ModelCouncil 2020. This years topic was #EUGreenDeal and #ClimateAction. Extremely passionate and well-prepared students from Ardscoil Ris Seconday (the same constiuency as @RichardbrutonTD - who gave opening remarks) represented #DK , @DKambIRL  @RichardbrutonTD,#ModelCouncil #EUGreenDeal #ClimateAction #DK,https://twitter.com/dkinireland/status/1233386169460830208
