date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
29-02-2020 8.12,chrissmith_re,EOBroin,1,1,3,"Definitely needed. Something sinister there, looks figures were #rigged in the run in to the election, dreadful to think homelessness could be used in an attempt to thwart @FineGael &amp; @MurphyEoghan then apparent meltdown, subsequently accomplished. #GE20 #GE2020",,#NAME?,#rigged #GE20 #GE2020,1233666273915040000.00,https://twitter.com/chrissmith_re/status/1233666273915043840
27-02-2020 23.31,PanelPowerIrl,COVID19Update,0,0,2,A woman flew in to Dublin & on to Belfast via train diseased with #COVID19. 16th UK patient to date =&gt;UK-COVID-1916 Irish health Minister Simon 'Pontius Pilate' Harris is busy washing his hands of the matter in a bunker in Athlone. #TonightVMTV #Coronavirus #GE2020🇮🇪 #GE20🇮🇪 ,,,#COVID19 #TonightVMTV #Coronavirus #GE2020 #GE20,1233172803286850000.00,https://twitter.com/PanelPowerIrl/status/1233172803286859783
27-02-2020 20.52,PanelPowerIrl,caulmick,0,1,1,With such brainfarts it looks like Leo is displaying the classic signs of #COVID19 infection. He &amp; everyone associated with #Fg should be indefinitely isolated. #Coronavirus #GE2020 #GE20🇮🇪 ,,,#COVID19 #Fg #Coronavirus #GE2020 #GE20,1233132896858310000.00,https://twitter.com/PanelPowerIrl/status/1233132896858316800
27-02-2020 19.41,PanelPowerIrl,WhispersNewsLTD,0,0,0,"Once-Taoiseach Leo Varruca(#FG) has slammed social media keyboard warriors for bullying the poor defensible mutating COVID-19 virus, labelling that behaviour somehow or other as being anti-semitic to #LookForward to.🤣😷😂 #GE20🇮🇪 #GE2020 #COVID19 #Coronavirus",,,#FG #LookForward #GE20 #GE2020 #COVID19 #Coronavirus,1233115076174970000.00,https://twitter.com/PanelPowerIrl/status/1233115076174974982
27-02-2020 16.35,PanelPowerIrl,ronanduffy_,0,0,0,"Let Simple Simon check all the incoming flights so.🛬🇮🇪 ""Don't look back at our fuck ups. #LookForward instead of making it awkward for us to fuck up again in the future.""-Simon H-Block #FG💩 #FF💩 #TrustUs🤣 #SimonHarris🤡 #DrewHarris💩 #GE20🇮🇪 #GE2020 #COVID19 #Coronavirus😷",,,#LookForward #FG #FF #TrustUs #SimonHarris #DrewHarris #GE20 #GE2020 #COVID19 #Coronavirus,1233068254316330000.00,https://twitter.com/PanelPowerIrl/status/1233068254316331009
27-02-2020 14.19,PanelPowerIrl,,0,0,0,"Here's a little known life hack for you, but promise you won't tell @FineGael or @fiannafailparty about this. Duct tape is actually a better defence against COVID-19 than those useless medical masks.😉 #COVID19 #Coronavirus #GE2020 #GE20🇮🇪 https://twitter.com/Independent_ie/status/1233025255624577024",,#NAME?,#COVID19 #Coronavirus #GE2020 #GE20,1233034029739450000.00,https://twitter.com/PanelPowerIrl/status/1233034029739454464
25-02-2020 22.54,andyboconnell,,1,0,1,#GenElection2 Reality #GeneralElection #Ge2020 #ge20 #GE20 @sinnfeinireland #sinnfeinsurge #sinnfeinrallies #SinnFeinAbu #SinnFein,,#NAME?,#GenElection2 #GeneralElection #Ge2020 #ge20 #GE20 #sinnfeinsurge #sinnfeinrallies #SinnFeinAbu #SinnFein,1232438771167050000.00,https://twitter.com/andyboconnell/status/1232438771167059968
25-02-2020 8.00,RebelTVIreland,,0,39,93,Leo Varadkar lives in a strange little world. Where the rich and powerful are bullied by the oppressed. A world of pretend panic. We won't be fooled. We still know the real bullies. We don't want the landlord parties in power. Not anymore. #ge20 #GE2020 #ireland #housing,,,#ge20 #GE2020 #ireland #housing,1232213852957350000.00,https://twitter.com/RebelTVIreland/status/1232213852957356034
24-02-2020 20.41,garethmurphyIE,,0,0,0,Is the carry on by FG/FF about these SF meetings putting you off them even further?? #ge2020 #ge20,,,#ge2020 #ge20,1232043000903140000.00,https://twitter.com/garethmurphyIE/status/1232043000903143430
24-02-2020 19.01,Tony_Cghn,UbuntuLad,0,0,0,So will the Fianna Fail / Fine Gael party now go into government with these Green Nazis? #GE2020 #GE20 #cblive #TonightVMTV,,,#GE2020 #GE20 #cblive #TonightVMTV,1232017673527140000.00,https://twitter.com/Tony_Cghn/status/1232017673527144448
